,prod_id,prod_desc,prod_long_desc,theme_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating,ages,piece_count,set_name,country,list_price
0,75823,blah,blahblah,Angry Birds™,2.0,4.0,Average,4.5,4.0,6-12,277,Bird Island Egg Heist,US,29.99
1,75822,blah,blahblah,Angry Birds™,2.0,4.0,Easy,5.0,4.0,6-12,168,Piggy Plane Attack,US,19.99
2,75821,blah,blahblah,Angry Birds™,11.0,4.3,Easy,4.3,4.1,6-12,74,Piggy Car Escape,US,12.99
3,21030,blah,blahblah,Architecture,23.0,3.6,Average,4.6,4.3,12+,1032,United States Capitol Building,US,99.99
4,21035,blah,blahblah,Architecture,14.0,3.2,Challenging,4.6,4.1,12+,744,Solomon R. Guggenheim Museum®,US,79.99
5,21039,blah,blahblah,Architecture,7.0,3.7,Average,4.9,4.4,12+,597,Shanghai,US,59.99
6,21028,blah,blahblah,Architecture,37.0,3.7,Average,4.2,4.1,12+,598,New York City,US,59.99
7,21029,blah,blahblah,Architecture,24.0,4.4,Average,4.7,4.3,12+,780,Buckingham Palace,US,49.99
8,21034,blah,blahblah,Architecture,23.0,3.6,Average,4.7,4.1,12+,468,London,US,39.99
9,21033,blah,blahblah,Architecture,11.0,3.6,Average,4.8,4.5,12+,444,Chicago,US,39.99
10,21036,blah,blahblah,Architecture,14.0,4.1,Average,4.4,3.6,12+,386,Arc de Triomphe,US,39.99
11,21019,blah,blahblah,Architecture,53.0,3.2,Average,4.6,4.4,12+,321,The Eiffel Tower,US,34.99
12,21032,blah,blahblah,Architecture,7.0,4.2,Easy,4.6,4.2,12+,361,Sydney,US,29.99
13,17101,blah,blahblah,BOOST,63.0,3.8,Average,3.4,3.5,7-12,847,BOOST Creative Toolbox,US,159.99
14,41597,blah,blahblah,BrickHeadz,13.0,4.7,Average,4.8,4.8,10+,708,Go Brick Me,US,29.99
15,41614,blah,blahblah,BrickHeadz,1.0,3.0,Easy,5.0,5.0,10+,234,Owen & Blue,US,19.99
16,41613,blah,blahblah,BrickHeadz,1.0,5.0,Very Easy,5.0,5.0,10+,160,Mr. Incredible & Frozone,US,19.99
17,41609,blah,blahblah,BrickHeadz,1.0,2.0,Very Easy,3.0,4.0,10+,149,Chewbacca™,US,9.99
18,41608,blah,blahblah,BrickHeadz,1.0,2.0,Very Easy,4.0,4.0,10+,141,Han Solo™,US,9.99
19,41604,blah,blahblah,BrickHeadz,3.0,4.0,Average,4.7,4.5,10+,101,Iron Man MK50,US,9.99
20,41605,blah,blahblah,BrickHeadz,2.0,3.0,Easy,5.0,5.0,10+,105,Thanos,US,9.99
21,41606,blah,blahblah,BrickHeadz,1.0,5.0,Easy,5.0,5.0,10+,113,Star-Lord,US,9.99
22,41607,blah,blahblah,BrickHeadz,1.0,,nan,5.0,,10+,136,Gamora,US,9.99
23,41485,blah,blahblah,BrickHeadz,2.0,3.0,Easy,4.5,4.0,10+,91,Finn,US,9.99
24,40270,blah,blahblah,BrickHeadz,7.0,3.2,Easy,4.9,4.7,10+,140,Valentine's Bee,US,9.99
25,41599,blah,blahblah,BrickHeadz,5.0,4.6,Easy,5.0,5.0,10+,143,Wonder Woman™,US,9.99
26,41598,blah,blahblah,BrickHeadz,3.0,2.7,Very Easy,4.0,3.0,10+,122,The Flash™,US,9.99
27,41603,blah,blahblah,BrickHeadz,5.0,4.3,Easy,5.0,4.8,10+,130,Kylo Ren™,US,9.99
28,41602,blah,blahblah,BrickHeadz,3.0,4.5,Easy,5.0,4.5,10+,119,Rey,US,9.99
29,41600,blah,blahblah,BrickHeadz,1.0,1.0,Very Easy,4.0,3.0,10+,135,Aquaman™,US,9.99
30,41601,blah,blahblah,BrickHeadz,2.0,3.5,Easy,5.0,4.0,10+,108,Cyborg™,US,9.99
31,41611,blah,blahblah,BrickHeadz,1.0,3.0,Easy,5.0,5.0,10+,240,Marty McFly & Doc Brown,US,19.99
32,41610,blah,blahblah,BrickHeadz,,,nan,,,10+,209,Tactical Batman™ & Superman™,US,19.99
33,40271,blah,blahblah,BrickHeadz,4.0,2.0,Easy,5.0,4.5,10+,126,Easter Bunny,US,9.99
34,41487,blah,blahblah,BrickHeadz,7.0,4.0,Easy,5.0,4.7,10+,102,Lloyd,US,9.99
35,41488,blah,blahblah,BrickHeadz,5.0,3.2,Very Easy,4.4,4.0,10+,89,Master Wu,US,9.99
36,41594,blah,blahblah,BrickHeadz,6.0,3.3,Very Easy,5.0,4.7,10+,118,Captain Armando Salazar,US,9.99
37,41486,blah,blahblah,BrickHeadz,3.0,3.5,Very Easy,4.7,4.7,10+,127,Captain Phasma™,US,9.99
38,41585,blah,blahblah,BrickHeadz,11.0,3.8,Very Easy,4.9,4.7,10+,91,Batman™,US,9.99
39,41590,blah,blahblah,BrickHeadz,8.0,4.0,Easy,4.9,4.4,10+,96,Iron Man,US,9.99
40,41593,blah,blahblah,BrickHeadz,9.0,3.6,Easy,4.8,4.6,10+,109,Captain Jack Sparrow,US,9.99
41,41592,blah,blahblah,BrickHeadz,8.0,3.9,Easy,4.6,4.1,10+,93,The Hulk,US,9.99
42,41595,blah,blahblah,BrickHeadz,10.0,4.2,Easy,4.8,4.7,10+,139,Belle,US,9.99
43,41596,blah,blahblah,BrickHeadz,2.0,5.0,Average,5.0,5.0,10+,116,Beast,US,9.99
44,41588,blah,blahblah,BrickHeadz,12.0,3.3,Easy,4.8,4.7,10+,151,The Joker™,US,9.99
45,41591,blah,blahblah,BrickHeadz,4.0,3.5,Easy,4.8,4.8,10+,143,Black Widow,US,9.99
46,41587,blah,blahblah,BrickHeadz,10.0,4.3,Very Easy,4.8,4.9,10+,101,Robin™,US,9.99
47,41586,blah,blahblah,BrickHeadz,9.0,3.5,Easy,4.3,4.6,10+,99,Batgirl™,US,9.99
48,60175,blah,blahblah,City,,,nan,,,5-12,387,Mountain River Heist,US,49.99
49,60052,blah,blahblah,City,35.0,4.7,Average,4.4,3.8,6-12,888,Cargo Train,US,199.99
50,60051,blah,blahblah,City,45.0,4.4,Average,4.4,4.0,6-12,610,High-speed Passenger Train,US,149.99
51,60162,blah,blahblah,City,1.0,5.0,Average,5.0,4.0,8-12,1250,Jungle Air Drop Helicopter,US,149.99
52,60167,blah,blahblah,City,3.0,3.3,Average,3.7,3.3,6-12,792,Coast Guard Head Quarters,US,119.99
53,60161,blah,blahblah,City,6.0,4.5,Average,4.3,4.0,8-12,813,Jungle Exploration Site,US,119.99
54,60141,blah,blahblah,City,10.0,4.2,Easy,4.7,4.0,6-12,894,Police Station,US,99.99
55,60188,blah,blahblah,City,1.0,5.0,nan,5.0,5.0,7-12,883,Mining Experts Site,US,99.99
56,60110,blah,blahblah,City,16.0,4.5,Average,4.6,4.6,6-12,919,Fire Station,US,99.99
57,60174,blah,blahblah,City,8.0,4.4,Average,4.6,4.0,6-12,663,Mountain Police Headquarters,US,89.99
58,60169,blah,blahblah,City,4.0,5.0,Average,5.0,4.3,6-12,740,Cargo Terminal,US,79.99
59,60140,blah,blahblah,City,9.0,3.9,Easy,3.3,3.6,5-12,561,Bulldozer Break-in,US,69.99
60,60160,blah,blahblah,City,3.0,4.7,Average,5.0,4.7,7-12,426,Jungle Mobile Lab,US,59.99
61,60173,blah,blahblah,City,2.0,4.5,Average,4.0,2.5,5-12,303,Mountain Arrest,US,59.99
62,60166,blah,blahblah,City,8.0,4.4,Challenging,4.4,4.0,6-12,415,Heavy-duty Rescue Helicopter,US,59.99
63,60139,blah,blahblah,City,10.0,3.9,Easy,4.0,3.3,6-12,374,Mobile Command Center,US,49.99
64,60154,blah,blahblah,City,16.0,3.6,Easy,3.3,2.7,5-12,337,Bus Station,US,49.99
65,60186,blah,blahblah,City,1.0,4.0,Average,5.0,4.0,5-12,294,Mining Heavy Driller,US,49.99
66,60153,blah,blahblah,City,10.0,4.3,Very Easy,4.1,3.6,5-12,169,People pack – Fun at the beach,US,39.99
67,60138,blah,blahblah,City,14.0,4.2,Average,4.2,4.1,5-12,294,High-speed Chase,US,39.99
68,60165,blah,blahblah,City,2.0,4.5,Very Easy,5.0,5.0,5-12,347,4 x 4 Response Unit,US,39.99
69,60172,blah,blahblah,City,,,nan,,,5-12,297,Dirt Road Pursuit,US,39.99
